4.000000000000000000e+00,3.110000000000000000e+02,1.000000000000000000e+01,2.800000000000000000e+01
3.800000000000000000e+01,1.250000000000000000e+02,1.910000000000000000e+02,1.260000000000000000e+02
6.000000000000000000e+00,2.130000000000000000e+02,2.120000000000000000e+02,1.620000000000000000e+02
0.000000000000000000e+00,3.300000000000000000e+01,2.740000000000000000e+02,1.400000000000000000e+01
4.000000000000000000e+01,2.070000000000000000e+02,2.160000000000000000e+02,1.640000000000000000e+02
3.110000000000000000e+02,2.620000000000000000e+02,1.030000000000000000e+02,8.900000000000000000e+01
3.300000000000000000e+01,2.080000000000000000e+02,2.100000000000000000e+02,1.520000000000000000e+02
2.200000000000000000e+01,1.430000000000000000e+02,1.110000000000000000e+02,5.000000000000000000e+01
4.300000000000000000e+01,2.060000000000000000e+02,2.070000000000000000e+02,1.190000000000000000e+02
5.000000000000000000e+00,4.050000000000000000e+02,2.980000000000000000e+02,1.630000000000000000e+02
4.000000000000000000e+00,1.600000000000000000e+01,2.800000000000000000e+01,3.000000000000000000e+01
3.900000000000000000e+01,2.090000000000000000e+02,1.230000000000000000e+02,1.610000000000000000e+02
4.900000000000000000e+01,2.090000000000000000e+02,1.780000000000000000e+02,1.960000000000000000e+02
2.934000000000000000e+03,8.000000000000000000e+00,1.630000000000000000e+02,3.300000000000000000e+02
2.840000000000000000e+02,3.280000000000000000e+02,3.710000000000000000e+02,8.030000000000000000e+02
3.500000000000000000e+01,2.060000000000000000e+02,2.110000000000000000e+02,1.600000000000000000e+02
3.400000000000000000e+01,1.360000000000000000e+02,2.820000000000000000e+02,7.230000000000000000e+02
4.600000000000000000e+01,2.170000000000000000e+02,2.100000000000000000e+02,1.590000000000000000e+02
9.000000000000000000e+00,1.990000000000000000e+02,9.300000000000000000e+01,1.580000000000000000e+02
1.700000000000000000e+01,8.300000000000000000e+01,2.500000000000000000e+02,7.000000000000000000e+00
0.000000000000000000e+00,2.290000000000000000e+02,2.120000000000000000e+02,1.590000000000000000e+02
