0.099020675,0.048747063,0.083333333,0.045620883,0.156833233,0,0,0.04973946,0,0.064069038,0.062546723,0
0.067148014,0.143617021,0.05547619,0.133009153,0.134465104,0,0.068541716,0.073307355,0.082433759,0.068125922,0.179130949,0.09390681
0.226910593,0.086010875,0.109743847,0.203562341,0.146227517,0,0.246954596,0.171045717,0.098668569,0.125585986,0.323036952,0.162450685
0.130922408,0.163741284,0,0.14302713,0.164923214,0,0.088917526,0.135476464,0.094368341,0.201989107,0,0.13950104
0.166077739,0.222247706,0.133035714,0.180733945,0.159133908,0.052995392,0.063829787,0.168303864,0.161662315,0.165373531,0.194719472,0.397774687
0.252310337,0.153016795,0.033710093,0.095062487,0.222039811,0.077002265,0.201545396,0.082348145,0.233143608,0.096560298,0.160318125,0.068910576
0.182862903,0.157042957,0.203327172,0.172078594,0.158598028,0.068419018,0.258394161,0.208871304,0.253601048,0.054675119,0.163401333,0.180691585
0.124345296,0.125695644,0.234110381,0.169224715,0.178711705,0.112106768,0.287102652,0.193051717,0.426726788,0.167980594,0.149680256,0.2475

-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
-1,0,-1,0,0,-1,-1,-1,-1,-1,0,-1
0,-1,-1,0,0,-1,0,0,-1,0,1,0
0,0,-1,0,0,-1,-1,0,-1,0,-1,0
0,0,0,0,0,-1,-1,0,0,0,0,1
0,0,-1,-1,0,-1,0,-1,0,-1,0,-1
0,0,0,0,0,-1,0,0,0,-1,0,0
0,0,0,0,0,0,1,0,1,0,0,0
